"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 21 06:07:15 UTC 2026","Tue Jul 21 06:07:15 UTC 2026","0","","Reaper vs OPA","","","","string Benchmark",""
"passed","Tue Jul 21 06:07:42 UTC 2026","Tue Jul 21 06:07:42 UTC 2026","0","","Reaper vs OPA","","","","collection Benchmark",""
"passed","Tue Jul 21 06:07:12 UTC 2026","Tue Jul 21 06:07:12 UTC 2026","0","","Reaper vs OPA","","","","abac Benchmark",""
"passed","Tue Jul 21 06:06:54 UTC 2026","Tue Jul 21 06:06:54 UTC 2026","0","","Reaper vs OPA","","","","math Benchmark",""
"passed","Tue Jul 21 06:09:22 UTC 2026","Tue Jul 21 06:09:22 UTC 2026","0","","Reaper vs OPA","","","","mega Benchmark",""
"passed","Tue Jul 21 06:07:26 UTC 2026","Tue Jul 21 06:07:26 UTC 2026","0","","Reaper vs OPA","","","","time Benchmark",""
"passed","Tue Jul 21 06:07:00 UTC 2026","Tue Jul 21 06:07:00 UTC 2026","0","","Reaper vs OPA","","","","rbac Benchmark",""
"passed","Tue Jul 21 06:07:10 UTC 2026","Tue Jul 21 06:07:10 UTC 2026","0","","Reaper vs OPA","","","","multilayer Benchmark",""
"passed","Tue Jul 21 06:07:05 UTC 2026","Tue Jul 21 06:07:05 UTC 2026","0","","Reaper vs OPA","","","","regex Benchmark",""
