"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 09:54:47 UTC 2026","Mon Jul 20 09:54:47 UTC 2026","0","","Reaper vs OPA","","","","time Benchmark",""
"passed","Mon Jul 20 09:55:06 UTC 2026","Mon Jul 20 09:55:06 UTC 2026","0","","Reaper vs OPA","","","","collection Benchmark",""
"passed","Mon Jul 20 09:54:15 UTC 2026","Mon Jul 20 09:54:15 UTC 2026","0","","Reaper vs OPA","","","","abac Benchmark",""
"passed","Mon Jul 20 09:54:09 UTC 2026","Mon Jul 20 09:54:09 UTC 2026","0","","Reaper vs OPA","","","","math Benchmark",""
"passed","Mon Jul 20 09:54:24 UTC 2026","Mon Jul 20 09:54:24 UTC 2026","0","","Reaper vs OPA","","","","multilayer Benchmark",""
"passed","Mon Jul 20 09:54:29 UTC 2026","Mon Jul 20 09:54:29 UTC 2026","0","","Reaper vs OPA","","","","regex Benchmark",""
"passed","Mon Jul 20 09:54:20 UTC 2026","Mon Jul 20 09:54:20 UTC 2026","0","","Reaper vs OPA","","","","rbac Benchmark",""
"passed","Mon Jul 20 09:54:21 UTC 2026","Mon Jul 20 09:54:21 UTC 2026","0","","Reaper vs OPA","","","","string Benchmark",""
"passed","Mon Jul 20 09:56:44 UTC 2026","Mon Jul 20 09:56:44 UTC 2026","0","","Reaper vs OPA","","","","mega Benchmark",""
