"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 19 21:21:14 UTC 2026","Sun Jul 19 21:21:14 UTC 2026","0","","Reaper vs OPA","","","","time Benchmark",""
"passed","Sun Jul 19 21:22:07 UTC 2026","Sun Jul 19 21:22:07 UTC 2026","0","","Reaper vs OPA","","","","collection Benchmark",""
"passed","Sun Jul 19 21:20:53 UTC 2026","Sun Jul 19 21:20:53 UTC 2026","0","","Reaper vs OPA","","","","string Benchmark",""
"passed","Sun Jul 19 21:20:49 UTC 2026","Sun Jul 19 21:20:49 UTC 2026","0","","Reaper vs OPA","","","","abac Benchmark",""
"passed","Sun Jul 19 21:23:19 UTC 2026","Sun Jul 19 21:23:19 UTC 2026","0","","Reaper vs OPA","","","","mega Benchmark",""
"passed","Sun Jul 19 21:21:00 UTC 2026","Sun Jul 19 21:21:00 UTC 2026","0","","Reaper vs OPA","","","","regex Benchmark",""
"passed","Sun Jul 19 21:20:44 UTC 2026","Sun Jul 19 21:20:44 UTC 2026","0","","Reaper vs OPA","","","","math Benchmark",""
"passed","Sun Jul 19 21:20:53 UTC 2026","Sun Jul 19 21:20:53 UTC 2026","0","","Reaper vs OPA","","","","rbac Benchmark",""
"passed","Sun Jul 19 21:21:24 UTC 2026","Sun Jul 19 21:21:24 UTC 2026","0","","Reaper vs OPA","","","","multilayer Benchmark",""
