"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 22:00:09 UTC 2026","Mon Jul 20 22:00:09 UTC 2026","0","","Reaper vs OPA","","","","regex Benchmark",""
"passed","Mon Jul 20 22:01:08 UTC 2026","Mon Jul 20 22:01:08 UTC 2026","0","","Reaper vs OPA","","","","collection Benchmark",""
"passed","Mon Jul 20 22:00:44 UTC 2026","Mon Jul 20 22:00:44 UTC 2026","0","","Reaper vs OPA","","","","math Benchmark",""
"passed","Mon Jul 20 22:00:23 UTC 2026","Mon Jul 20 22:00:23 UTC 2026","0","","Reaper vs OPA","","","","string Benchmark",""
"passed","Mon Jul 20 22:00:21 UTC 2026","Mon Jul 20 22:00:21 UTC 2026","0","","Reaper vs OPA","","","","time Benchmark",""
"passed","Mon Jul 20 22:00:45 UTC 2026","Mon Jul 20 22:00:45 UTC 2026","0","","Reaper vs OPA","","","","rbac Benchmark",""
"passed","Mon Jul 20 22:02:57 UTC 2026","Mon Jul 20 22:02:57 UTC 2026","0","","Reaper vs OPA","","","","mega Benchmark",""
"passed","Mon Jul 20 22:00:31 UTC 2026","Mon Jul 20 22:00:31 UTC 2026","0","","Reaper vs OPA","","","","abac Benchmark",""
"passed","Mon Jul 20 22:00:59 UTC 2026","Mon Jul 20 22:00:59 UTC 2026","0","","Reaper vs OPA","","","","multilayer Benchmark",""
