"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 21:26:16 UTC 2026","Mon Jul 20 21:26:16 UTC 2026","0","","Reaper vs OPA","","","","rbac Benchmark",""
"passed","Mon Jul 20 21:26:18 UTC 2026","Mon Jul 20 21:26:18 UTC 2026","0","","Reaper vs OPA","","","","abac Benchmark",""
"passed","Mon Jul 20 21:26:47 UTC 2026","Mon Jul 20 21:26:47 UTC 2026","0","","Reaper vs OPA","","","","time Benchmark",""
"passed","Mon Jul 20 21:26:12 UTC 2026","Mon Jul 20 21:26:12 UTC 2026","0","","Reaper vs OPA","","","","math Benchmark",""
"passed","Mon Jul 20 21:26:27 UTC 2026","Mon Jul 20 21:26:27 UTC 2026","0","","Reaper vs OPA","","","","multilayer Benchmark",""
"passed","Mon Jul 20 21:26:27 UTC 2026","Mon Jul 20 21:26:27 UTC 2026","0","","Reaper vs OPA","","","","string Benchmark",""
"passed","Mon Jul 20 21:27:36 UTC 2026","Mon Jul 20 21:27:36 UTC 2026","0","","Reaper vs OPA","","","","collection Benchmark",""
"passed","Mon Jul 20 21:28:47 UTC 2026","Mon Jul 20 21:28:47 UTC 2026","0","","Reaper vs OPA","","","","mega Benchmark",""
"passed","Mon Jul 20 21:26:26 UTC 2026","Mon Jul 20 21:26:26 UTC 2026","0","","Reaper vs OPA","","","","regex Benchmark",""
